State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
Illinois,User-Facing AI,The Wellness and Oversight for Psychological Resources Act,HB1806,1-Aug-25,"Prohibits any individual or entity from providing, advertising, or otherwise offering therapy or psychotherapy services, including through the use of Internet-based artificial intelligence, to the public unless the therapy or psychotherapy services are conducted by an individual who is a licensed professional. Exceptions are provided for religious counseling, peer support, and self-help materials and educational resources that are available to the public and do not purport to offer therapy or psychotherapy services.",Up to $10,Active,https://www.ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0054.pdf,https://www.ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0054.pdf
Illinois,AI in Employment,Amendment to the Illinois Human Rights Act,HB 3773,1-Jan-26,"Amends the Illinois Human Rights Act to make it a civil rights violation for an employer to use AI with respect to recruitment, hiring, promotion, renewal of employment, selection for training or apprenticeship, discharge, discipline, tenure, or the terms, privileges, or conditions of employment: Without notifying employees when using AI for these purposes; or In a manner that has the effect of subjecting employees to discrimination on the basis of protected classes (or zip code used as a proxy for protected classes). Forthcoming rules will clarify the circumstances and conditions that require notice, the time period for providing notice, and the means for providing notice.",Enforced under the Illinois Human Rights Act.,Active,https://ilga.gov/Legislation/BillStatus/FullText?LegDocId=185601&DocName=10300HB3773enr&DocNum=3773&DocTypeID=HB&LegID=149031&GAID=17&SessionID=112&SpecSess=&Session=,https://ilga.gov/Legislation/BillStatus/FullText?LegDocId=185601&DocName=10300HB3773enr&DocNum=3773&DocTypeID=HB&LegID=149031&GAID=17&SessionID=112&SpecSess=&Session=
Indiana,AI Intimate Images,Amendment of Indiana Law Governing Distribution of Intimate Images,HB 1047,12-Mar-24,"Extends prohibitions on the distribution of intimate images to include computer generated images, including images of an individual created or modified by means of a computer software program, artificial intelligence, application, or other design editing tools.",Existing criminal penalties apply.,Active,https://iga.in.gov/legislative/2024/bills/house/1047/details,https://iga.in.gov/legislative/2024/bills/house/1047/details
Indiana,Automated Decision-Making,Indiana Consumer Data Protection Act,Ind. Code. §24-15-1,1-Jan-26,"Provides consumers the right to opt-out of any form of solely automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health or health records, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment, criminal justice, employment opportunities, health care services, or access to basic necessities like food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://iga.in.gov/ic/2024/Title_24/Article_15.pdf,https://iga.in.gov/ic/2024/Title_24/Article_15.pdf
Iowa,AI CSAM,Sexual Exploitation of a Minor,Iowa Code § 728.12,1-Jul-24,"Updates the sexual exploitation laws to define a ""visual depiction of a minor"" to include any visual depiction that has been created, adapted, or modified to give the appearance that an identifiable minor is engaged in a prohibited sexual act or the simulation of a prohibited sexual act. Updates the sexual exploitation laws to define an ""identifiable minor"" as a person who was a minor at the time the visual depiction was created, adapted, or modified, or whose image as a minor was used in creating, adapting, or modifying the visual depiction and is recognizable as an actual person by the person's face, likeness, or other distinguishing features.",Existing criminal penalties apply.,Active,https://www.legis.iowa.gov/docs/code/2025/728.12.pdf,https://www.legis.iowa.gov/docs/code/2025/728.12.pdf
Iowa,AI Intimate Images,Harassment,Iowa Code § 708.7,1-Jul-24,"Updates the offense of harassment to provide that the dissemination, publication, distribution, or posting of a visual depiction showing ""another person"" in a state of full or partial nudity or engaged in a sex act includes an individual, recognizable by their face, likeness, or other distinguishing features, whose image is used to create, adapt, or modify a visual depiction to depict that other person in the manner described.",Existing criminal penalties apply.,Active,https://www.legis.iowa.gov/docs/code/2025/708.7.pdf,https://www.legis.iowa.gov/docs/code/2025/708.7.pdf
Kansas,AI in Government,AI Platforms of Concern,SB 2313,8-Apr-25,Prohibits the use of an AI platform of concern (including DeepSeek) by a state agency.,N/A,Active,https://kslegislature.gov/li/b2025_26/measures/documents/hb2313_enrolled.pdf,https://kslegislature.gov/li/b2025_26/measures/documents/hb2313_enrolled.pdf
Kentucky,AI CSAM,Amendment to CSAM Law,HB 207,28-Mar-24,"Expands covered images under the Kentucky CSAM statutes to include ""any visual depiction"" that ""has been created, adapted, or modified by a computer to appear to be an identifiable person."" Creates an exception under CSAM prosecutions to the ""identifiable person"" standard under which the Commonwealth need not prove ""the actual identity or age of the minor, or that the minor actually exists.""",Existing criminal and civil penalties apply.,Active,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb207/bill.pdf,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb207/bill.pdf
Kentucky,AI Intimate Images,Amendment to Intimate Images law,HB 207,28-Mar-24,"Expands covered images under the Kentucky AI intimate images statute to include ""any visual depiction"" that ""has been created, adapted, or modified by a computer to appear to be an identifiable person.""",Existing criminal and civil penalties apply.,Active,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb207/bill.pdf,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb207/bill.pdf
Kentucky,AI in Government,Government Use of AI Law,KRS 42.720 - 42.742,1-Dec-25,"Requires the Commonwealth Office of Technology to create an Artificial Intelligence Governance Committee to govern the use of AI systems by government agencies. Gives the Commonwealth Office of Technology the powers to establish, publish, maintain, and implement comprehensive policy standards and procedures for the responsible, ethical, and transparent use of generative artificial intelligence systems and high-risk artificial intelligence systems by departments, agencies, and administrative bodies. Requires government agencies to disclose to the public, through clear and conspicuous disclaimer, when AI systems are used for certain purposes. Requires government agencies to disclose certain information and make available options for individuals to appeal when an AI system is used to make external decisions about them.",N/A,Active,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=39092,https://apps.legislature.ky.gov/record/25rs/sb4.html
Kentucky,AI in Political Advertising,AI Electioneering Communications,KRS 117.001,1-Dec-25,"Any candidate for any elected office whose appearance, action, or speech is altered through the use of synthetic media in an electioneering communication may seek injunctive or other equitable relief against the sponsor of the electioneering communication requiring that the communication includes a disclosure that is clear and conspicuous and included in, or alongside and associated with, the content in a manner that is likely to be noticed by the user.","Injunctive or other equitable relief, plus attorney's fees and costs.",Active,https://apps.legislature.ky.gov/record/25rs/sb4.html,https://apps.legislature.ky.gov/record/25rs/sb4.html
Kentucky,Automated Decision-Making,Kentucky Consumer Data Protection Act,Ky. Rev. Stat. § 367.3611 et seq.,1-Jan-26,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment, criminal justice, employment opportunities, healthcare services, or access to basic necessities, like food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=39092,https://apps.legislature.ky.gov/law/statutes/chapter.aspx?id=39092
Louisiana,AI Intimate Images,Louisiana Deepfake Law,14 La. Rev. Stat. Ann. § 73.13,1-Aug-23,"Makes it unlawful for any person who, with knowledge that the material is a deepfake that depicts another person, without consent of the person depicted, engaging in sexual conduct, knowingly advertises, distributes, exhibits, exchanges with, promotes, or sells any sexual material.","Imprisonment for 5 – 30 years and a fine of not more than $50,000.",Active,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1333325,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1333325
Louisiana,AI CSAM,Louisiana Deepfake Law,14 La. Rev. Stat. Ann. § 73.13,1-Aug-23,"Makes it unlawful for any person who, with knowledge that the material is a deepfake depicting a minor, knowingly creates or possesses material that depicts a minor engaging in sexual conduct.","Imprisonment for 5 – 30 years and a fine of not more than $50,000.",Active,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1333325,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1333325
Louisiana,AI Intimate Images,Louisiana AI Intimate Image Law,14 La. Rev. Stat. Ann. § 73.14,1-Aug-24,"Makes it unlawful for any person, with the intent to coerce, harass, intimidate, or otherwise act maliciously, to disseminate or sell any video or still image created by AI that depicts another person intimately when the person disseminating the video or still image knows or has reason to know that he is not licensed or authorized to do so.",Up to 6 months imprisonment and/or $750 fine.,Active,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1379408,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1379408
Maine,User-Facing AI,Communications with Consumers via AI,10 MRSA c. 239,24-Sep-25,Prohibits any person from using an AI chatbot or any other computer technology to engage in trade and commerce with a consumer in a manner that may mislead or deceive a reasonable consumer into believing that the consumer is engaging with a human unless the consumer is notified in a clear and conspicuous manner that the consumer is not engaging with a human being.,Constitutes a violation of the Maine Unfair Trade Practices Act.,Active,https://legislature.maine.gov/bills/getPDF.asp?paper=HP1154&item=3&snum=132,https://legislature.maine.gov/bills/getPDF.asp?paper=HP1154&item=3&snum=132
Maryland,AI CSAM,Amendment to the Maryland CSAM Statute,"MD. Code., Crim. Law 11-208",1-Oct-23,Expands the definition of CSAM to include a computer generated image that is indistinguishable from an actual and identifiable child under the age of 16.,Existing criminal penalties apply.,Active,https://casetext.com/statute/code-of-maryland/article-criminal-law/title-11-indecency-and-obscenity/subtitle-2-obscene-matter/section-11-208-possession-of-visual-representation-of-child-under-16-engaged-in-certain-sexual-acts,https://casetext.com/statute/code-of-maryland/article-criminal-law/title-11-indecency-and-obscenity/subtitle-2-obscene-matter/section-11-208-possession-of-visual-representation-of-child-under-16-engaged-in-certain-sexual-acts
Maryland,AI in Government,Maryland AI Governance Act of 2024,SB 818,1-Jul-24,"Requires each unit of Maryland state government to conduct an inventory of high-risk AI systems. Requires each unit of Maryland state government to conduct annual impact assessments of high-risk AI systems. Requires the Maryland Department of Information Technology to develop policies and procedures for the deployment, use, and assessment of high-risk AI systems.",N/A,Active,https://legiscan.com/MD/text/SB818/id/2998150/Maryland-2024-SB818-Chaptered.pdf,https://legiscan.com/MD/text/SB818/id/2998150/Maryland-2024-SB818-Chaptered.pdf
Maryland,Automated Decision-Making,Maryland Online Data Privacy Act,Md. Code Ann. § 14-4601 et seq.,1-Oct-25,"Provides consumers the right to opt-out of any form of solely automated processing of personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, demographic characteristics, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, education enrollment or opportunity, criminal justice, employment opportunities, health care services, or access to essential goods or services). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.","$10,000 per violation; $25,000 for repeating the same violation.",Active,https://mgaleg.maryland.gov/2024RS/bills/hb/hb0567E.pdf,https://mgaleg.maryland.gov/2024RS/bills/hb/hb0567E.pdf
Maryland,AI Healthcare,AI Utilization Review,"Md. Code Ann., Ins. §§ 15-10A-06, 15-10B05.1",1-Oct-25,"Requires insurers, nonprofit health service plans, health maintenance organizations, dental plan organizations, and any other persons that provide health benefit plans subject to regulation by MD to submit to the Commissioner on a quarterly basis certain information relating to claims, including the number of adverse decisions by the carrier and whether an artificial intelligence, algorithm, or other software tool was used in making the adverse decision. Further requires such covered entities to ensure that: AI systems base their determinations on relevant clinical information and not solely on a group dataset; Any criteria or guidelines for using an AI system complies with these requirements; An AI system does not replace the role of a health care provider in the determination process under § 15-10B-07 (setting forth adverse decision procedures); Use of AI does not result in unfair discrimination, and is otherwise fairly and equitably applied; AI systems are open to inspection for audit or compliance reviews by the Commissioner; Written policies and procedures are included in the utilization plan, including how an AI system will be used and what oversight will be provided; The performance, use and outcomes of AI are reviewed and revised, if necessary and at least on a quarterly basis, to maximize accuracy and reliability; Patient data is not used beyond its intended and state purpose, consistent with HIPAA; and An AI system does not directly or indirectly cause harm to an enrollee, nor deny, delay or modify health care services.",Existing enforcement mechanism by the Maryland Insurance Commissioner apply.,Active,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_747_hb0820t.pdf,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_747_hb0820t.pdf
Massachusetts,AI Intimate Images,Amendment to the Massachusetts Intimate Images Law,HB 4744,20-Jun-24,"Expands the scope of the non-consensual dissemination of intimate images statute to include ""material produced by digitization"" or the ""creation or alteration of visual material . . . through the use of computer-generated images, in a manner that would falsely appear to a reasonable person to be an authentic representation of the person depicted.""",Existing criminal penalties apply.,Active,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter118,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter118
Michigan,AI in Political Advertising,AI Political Disclaimer Law,HB 5141,13-Feb-24,Requires political advertisements generated in whole or substantially by artificial intelligence (whether communicated by phone or radio or print) to contain appropriate disclaimers.,Not specified.,Active,https://www.legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0263.htm,https://www.legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0263.htm
Michigan,AI in Political Advertising,AI Political Deepfake Law,HB 5144,1-Jul-24,Prohibits any person within 90 days of an election from distributing materially deceptive media (including AI-generated content) that the person knows falsely represents a depicted individual and intends the distribution to harm the reputation or electoral prospects of a candidate in an election or to change the voting behavior of electors in an election by causing them to believe the deception is accurate (unless an appropriate disclaimer is provided).,"Imprisonment, injunctive relief and fines up to $1,000.",Active,https://www.legislature.mi.gov/documents/2023-2024/publicact/pdf/2023-PA-0265.pdf,https://www.legislature.mi.gov/documents/2023-2024/publicact/pdf/2023-PA-0265.pdf
Minnesota,AI Intimate Images,Non-Consensual Dissemination of a Deepfake,HF 1370,1-Aug-23,Makes non-consensual dissemination of a deep fake a civil offense when the deepfake realistically depicts an intimate part of the non-consenting individual or the non-consenting individual engaging in a sexual act. The act applies to an individual who can be identified either by their features or from personal information displayed in connection with the deepfake.,"Civil penalty of up to $100,000.00, and injunctive relief, including up to a $1000 daily fine for failure to comply.",Active,https://www.revisor.mn.gov/bills/bill.php?b=house&f=hf1370&ssn=0&y=2023,https://www.revisor.mn.gov/bills/bill.php?b=house&f=hf1370&ssn=0&y=2023
Minnesota,AI in Social Media & Online Platforms,Prohibiting Social Media Manipulation Act,SF 4097,1-Jul-25,Imposes obligations on certain social media companies to provide transparency regarding the company's algorithmic ranking system through a public and conspicuous post on its website (including how the company's assessments of the quality of content and users' expressed preference regarding content are weighted in relation to other signals in the system).,Not specified.,Active,https://www.revisor.mn.gov/bills/bill.php?view=chrono&b=Senate&f=SF4097&ssn=0&y=2023,https://www.revisor.mn.gov/bills/bill.php?view=chrono&b=Senate&f=SF4097&ssn=0&y=2023
Minnesota,Automated Decision-Making,Minnesota Consumer Data Privacy Act,Minn. Stat. § 325O et seq.,31-Jul-25,"Provides consumers the right to opt-out of any form of automated processing of personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health care services, or access to essential goods or services). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Provides consumers the right to question the result of such automated processing, to be informed of the reason that the process resulted in the decision, and, if feasible, to be informed of what actions the consumer might have taken to secure a different decision and the actions that the consumer might take to secure a different decision in the future. Provides consumers the right to review the consumer's personal data used for such automated processing and, if the decision was based upon inaccurate personal data, the right to have the data corrected and the decision reevaluated based upon the corrected data. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://infobytes.orrick.com/wp-content/uploads/download-1-1.pdf,https://infobytes.orrick.com/wp-content/uploads/download-1-1.pdf
Minnesota,AI CSAM,Amendment to the Minnesota CSAM Statute,HF2432,1-Aug-25,"Expands the definition of CSAM to include a computer generated image that depicts an individual indistinguishable from an actual minor created by the use of generative AI or other computer technology capable of processing and interpreting specific data inputs, commonly referred to as prompts, to create a visual depiction of the individual engaging in sexual conduct and is obscene.",Existing criminal penalties apply.,Active,https://www.revisor.mn.gov/bills/bill.php?view=chrono&b=House&f=HF2432&ssn=0&y=2025,https://www.revisor.mn.gov/bills/bill.php?view=chrono&b=House&f=HF2432&ssn=0&y=2025
Mississippi,AI in Political Advertising,AI Political Deepfake Law,SB 2577,1-Jul-24,"Prohibits any person within 90 days of an election from disseminating a digitization (i.e., an image or audio altered in a realistic manner constituting a deepfake) that the person knows or should have known is disseminated (i) without the consent of the depicted individual and (ii) with the intent to injure a candidate, influence the results of an election or deter any person from voting (unless an appropriate disclaimer is provided).","Imprisonment, injunctive relief and fines up to $10,000.",Active,https://billstatus.ls.state.ms.us/2024/pdf/history/SB/SB2577.xml,https://billstatus.ls.state.ms.us/2024/pdf/history/SB/SB2577.xml
Missouri,AI CSAM,Pornography and Related Offenses,R.S.Mo § 573.010,6-Jun-06,"Expands the definition of child pornography to include a computer or computer-generated image or picture, whether made or produced by electronic, mechanical, or other means, depicting an actual minor, or an image of an individual indistinguishable from that of a minor, engaging in sexually explicit conduct.",Existing criminal penalties apply.,Active,https://revisor.mo.gov/main/OneSection.aspx?section=573.010&bid=51065,https://revisor.mo.gov/main/OneSection.aspx?section=573.010&bid=51065
Montana,Automated Decision-Making,Montana Consumer Data Privacy Act,Montana Code Ann. § 30-14-2801 et seq.,1-Oct-24,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health care services, or access to necessities like food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data. Other obligations and restrictions may apply depending on the type of data processed.",Does not specify.,Active,https://archive.legmt.gov/bills/mca/title_0300/chapter_0140/part_0280/sections_index.html,https://archive.legmt.gov/bills/mca/title_0300/chapter_0140/part_0280/sections_index.html
Montana,AI in Critical Infrastructure,Right to Compute Act,SB212,16-Apr-25,"When critical infrastructure facilities are controlled in whole or in part by a critical AI system, the deployer must develop a reasonable risk management policy that considers guidance and standards in the NIST AI Risk Management Framework, the ISO/IEC 4200 AI standard, or another nationally or internationally recognized risk management framework for AI systems.",N/A,Active,https://docs.legmt.gov/download-ticket?ticketId=a64e8bac-75d1-42b8-a672-82870e842ab0,https://docs.legmt.gov/download-ticket?ticketId=a64e8bac-75d1-42b8-a672-82870e842ab0
Montana,AI Intimate Images,Montana Explicit Synthetic Media Law,"MCA Title 45, Chapter 5, Part 6",12-May-25,Prohibits any person from knowingly disclosing (or threatening to disclose) explicit synthetic media without the individual's consent or with the intent to harm the individual.,"Fines not to exceed $1,000 and imprisonment not to exceed 1 year; increasing to $10,000 and 5 years for a second or subsequent conviction, or $10,000 and 10 years for explicit synthetic media portraying an individual under 18 years of age.",Active,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-SB413-Enrolled.pdf,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-SB413-Enrolled.pdf
Montana,AI Intimate Images,Privacy in Communications Law,MCA Section 45-8-213,1-Oct-25,Expands offenses of violating privacy in communications to include possessing and threatening to disclose real or digitally fabricated sexual deepfakes with the purpose of obtaining money or other valuables.,Existing criminal penalties apply.,Active,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-HB514-Enrolled.pdf,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-HB514-Enrolled.pdf
Montana,AI in Government,Montana Government AI Use Law,HB178,1-Oct-25,"A government entity or state officer may not use an AI system to (1) manipulate a person or group; (2) classify a person or group based on behavior, socioeconomic status, or personal characteristics resulting in unlawful discrimination or a disparate impact based on an actual or perceived differentiating characteristic; (3) maliciously; or (4) surveil public spaces, except to locate a missing, endangered, or wanted person, or in conformity with laws regarding continuous facial surveillance. If a government entity publishes material produced by an AI system not reviewed by a human, the material must be accompanied by a disclosure that the material was produced by an AI system. If a government entity or state officer has an interface with the public that uses an AI system, the use of the AI system in the interface must be disclosed. If an AI system produces a recommendation or decision for a government entity or state officer impacting one's rights or privileges, the recommendation or decision must be reviewed and is subject to rejection or modification by a human.",N/A,Active,https://docs.legmt.gov/download-ticket?ticketId=907ba0c7-2666-4edc-938e-7f66bf3de5cb,https://docs.legmt.gov/download-ticket?ticketId=907ba0c7-2666-4edc-938e-7f66bf3de5cb
Montana,AI in Political Advertising,AI Deepfakes in Elections,SB25,1-Oct-25,"Elections must not pay for or sponsor the production, creation, or distribution of a known election communication that has a deepfake of a candidate or political party on the ballot within 60 days of an election at which a candidate for office appears on the ballot. This prohibition does not apply to an election communication or electioneering communication that includes a disclosure stating, ""This _____ image / audio / video / multimedia) has been significantly edited by artificial intelligence and depicts speech or conduct that falsely appears to be authentic or truthful.""","$5,000 maximum fine and up to 6 mo. imprisonment for the second violation, 2 years for the third violation.",Active,https://docs.legmt.gov/download-ticket?ticketId=79409647-ee8e-4eda-aceb-c7e125083fda,https://docs.legmt.gov/download-ticket?ticketId=79409647-ee8e-4eda-aceb-c7e125083fda
Montana,AI Likeness,"Property Right in Use of Names, Voices, and Visual Likenesses","MCA Title 30, Chapter 14, Section 1",1-Jan-26,"Makes it unlawful for a person to intentionally publish, perform, distribute, transmit, or make available to the public a digital voice depiction or digital visual depiction for commercial use with actual or specific knowledge that the depiction is a digital voice depiction or digital visual depiction of the individual that was not authorized by the individual or the holder of the individual's property right (as well as distribution of any algorithm, software, tool, or other technology, service, or device with the actual and specific knowledge it will be used for such purposes).",A person who violates is liable to the injured person for the actual damages suffered by the person plus any profits from the unauthorized use of the individual's name or voice or visual likeness.,Active,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-HB513-Enrolled.pdf,https://infobytes.orrick.com/wp-content/uploads/Montana-2025-HB513-Enrolled.pdf
Nebraska,Automated Decision-Making,Nebraska Data Privacy Act,LB 1074,1-Jan-26,"Provides consumers the right to opt-out of any form of solely automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, healthcare services, education enrollment, employment opportunities, criminal justice, or access to basic necessities, such as food and water). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB1074.pdf,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB1074.pdf
Nebraska,AI CSAM,Amendment of Nebraska CSAM Laws,LB 383,1-Jul-26,"Expands the definition of CSAM to include a computer generated image that is obscene and depicts a child, a person that would appear to a reasonable person to be a child, or a person depicted with physical features of a child.",Existing criminal and civil penalties apply.,Active,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB383.pdf,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB383.pdf
Nevada,AI Healthcare,AI for Mental and Behavioral Health Care,Nev. Rev. Stat. Chapter 629,1-Jul-25,Prohibits a provider of mental and behavioral health care from using an AI system in connection with providing professional mental and behavioral health care directly to a patient. Expressly permits such a provider to use an AI system to assist the provider with performing tasks for administrative support.,A violation makes such a provider guilty of unprofessional conduct and subject to disciplinary action by the proper authorities.,Active,https://infobytes.orrick.com/wp-content/uploads/AB406-Text.pdf,https://infobytes.orrick.com/wp-content/uploads/AB406-Text.pdf
Nevada,AI in Education,AI for School Counseling,Chapter 391 of NRS,1-Jul-25,"Prohibits public schools from using AI to perform the functions and duties of a school counselor, school psychologist or school social worker. Requires the Department of Education to develop a policy for the use of AI by a school counselor, school psychologist, school social worker or other educational personnel while providing therapy, counseling or other mental or behavioral health services to pupils.",N/A,Active,https://infobytes.orrick.com/wp-content/uploads/AB406-Text.pdf,https://infobytes.orrick.com/wp-content/uploads/AB406-Text.pdf
Nevada,User-Facing AI,General AI Chatbots and Mental Health Services,Nev. Rev. Stat. Chapter 433,1-Jul-25,"Prohibits an artificial intelligence provider from making available in Nevada an AI system that is specifically programmed to provide a service or experience to a user that would constitute the practice of professional mental or behavioral health care if provided by a natural person. Prohibits an artificial intelligence provider from making any representation or statement or knowingly causing or programming an AI system to make any representation or statement that indicates the AI system is capable of providing professional mental health care, can be used to obtain professional mental or behavioral health care, or is a provider of mental or behavioral health care, a therapist, a clinical therapist, a counselor, a psychiatrist, a doctor or any other term commonly used to refer to a provider of professional mental health or behavioral health care.",Civil penalty of up to $15,Active,https://infobytes.orrick.com/wp-content/uploads/AB406-Text.pdf,https://infobytes.orrick.com/wp-content/uploads/AB406-Text.pdf
Nevada,AI in Political Advertising,Nevada AI Political Advertising Law,NRS Chapter 294A.347-95,1-Jan-26,"Requires any political campaign communication that includes any form of synthetic media (such as an image, audio recording or video recording of an individual that has been intentionally manipulated with the use of AI to create realistic but false content) to include a disclosure stating that ""This (image/video/audio) has been manipulated.""",Allows parties to seek injunctive or equitable relief in district court if injured.,Active,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11888/Overview,https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/11888/Overview
New Hampshire,AI in Political Advertising,New Hampshire AI Political Advertising Law,HB 1596,27-Mar-24,"Prohibits any person within 90 days of an election from distributing a message created using artificial intelligence that the person knows or should have known is a deepfake of a candidate, election official, or party on the state or local ballot (unless an appropriate disclaimer is provided).",Injunctive or other equitable relief and general or special damages.,Active,https://legiscan.com/NH/text/HB1596/id/2864639,https://legiscan.com/NH/text/HB1596/id/2864639
New Hampshire,AI in Government,New Hampshire State Agency AI Bill,HB 1688,1-Jul-24,"Prohibits New Hampshire state agencies from: Classifying persons based on behavior, socio-economic status, or personal characteristics resulting in unlawful discrimination against any individual person or group of persons. Using real-time and remote biometric identification systems for surveillance in public spaces, such as facial recognition, except by law enforcement with a warrant. Using deepfakes for any deceptive or malicious purpose. Requires New Hampshire state agencies to also: Ensure recommendations or decisions are reviewed by an appropriate human before taking effect where the recommendation or decision is produced by an AI system and cannot be reversed once implemented or executed. Provide a disclosure that content was generated by AI where the content was produced by generative AI and has not been reviewed and possibly edited by an appropriate human. Ensure humans interacting with an AI system, directly or indirectly, are informed they are interacting with an AI system.",N/A,Active,https://legiscan.com/NH/text/HB1688/id/2864315,https://legiscan.com/NH/text/HB1688/id/2864315
New Hampshire,AI Deepfakes,New Hampshire Deepfake Act,HB 1432,1-Jan-25,"Makes it unlawful for any person to knowingly create, distribute, or present any likeness in video, audio, or any other media of an identifiable individual that constitutes a deepfake for the purpose of embarrassing, harassing, entrapping, defaming, extorting, or otherwise causing any financial or reputational harm to the identifiable person.",Class B Felony and Civil Damages.,Active,https://legiscan.com/NH/text/HB1432/id/2864369,https://legiscan.com/NH/text/HB1432/id/2864369
New Hampshire,Automated Decision-Making,New Hampshire Privacy Act,N.H. Rev. Stat. § 507-H:8,1-Jan-25,"Provides consumers the right to opt-out of any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of solely automated decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, health care services, or access to essential goods or services). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.",Up to $10,Active,https://gc.nh.gov/rsa/html/NHTOC/NHTOC-LII-507-H.htm,https://gc.nh.gov/rsa/html/NHTOC/NHTOC-LII-507-H.htm
