State/Terr,AI Scope,Relevant Law,Bill ID,Effective Date,Key Requirements,Enforcements Penalties,Status,Source URL,Law Link URL
California,AI Transparency,Data Broker Registration AI Disclosures,Cal. Civ. Code § 1798.99.82,1-Jan-26,"Requires data brokers to provide additional information upon registration to the California Privacy Protection Agency, including whether the data broker has shared or sold consumers' data to a developer of a GenAI system or model in the past year.","Up to $200 for each day the data broker fails to register, an amount equal to the fees that were due during the period it failed to register, and reasonable expenses incurred by the California Privacy Protection Agency during the investigation.",Active,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB361,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB361
California,AI in Real Estate,Real Estate Digitally Altered Images Disclosures,Cal. Bus. & Prof. Code § 10140.8,1-Jan-26,"Requires real estate brokers, salespersons and persons acting on their behalf who include a digitally altered image (including AI altered images) in an advertisement or other promotional material for the sale of real property to include a statement disclosing that the image has been altered and a link to a publicly accessible internet website, URL, or QR code that includes, and clearly identifies, the original, unaltered image.","Disciplinary action under the California Real Estate Regulations, including potential revocation or suspension of real estate licenses.",Active,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB723,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB723
California,Algorithmic Pricing,Cartwright Act Common Pricing Algorithm Amendment,AB 325,1-Jan-26,"Makes it unlawful for a person to use or distribute a common pricing algorithm as part of a contract, combination in the form of a trust, or conspiracy to restrain trade or commerce in violation of the law. Makes it unlawful for a person to use or distribute a common pricing algorithm if the person coerces another person to set or adopt a recommended price or commercial term recommended by the common pricing algorithm for the same or similar products or services in California. Defines ""common pricing algorithm"" as ""any methodology, including a computer, software, or other technology, used by two or more persons, that uses competitor data to recommend, align, stabilize, set, or otherwise influence a price or commercial term.""","Criminal and civil penalties are available, including up to $6 million in criminal penalties or double either the gross gain derived from the violation or the gross loss suffered by the victim, whichever is greater.",Active,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB325,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB325
California,AI Transparency,California AI Transparency Act,Cal. Bus. & Prof. Code § 22757 et seq.,2-Aug-26,"Requires providers of certain covered generative AI systems to: Offer users the option to include in AI-generated image, video or audio content an indicator that the content is AI-generated content; Include a detectable, latent disclosure in AI-generated image, audio, and video content created by the provider's AI system that the content was generated by the system; and Develop and make available tools to detect whether specified content was generated by the provider's system. Starting January 1, 2027, prohibits a GenAI system hosting platform from knowingly making available a GenAI system that does not place the disclosures identified above. Starting January 1, 2027, requires certain large online platforms to: Detect whether any provenance data that is compliant with widely adopted specifications adopted by an established standards-setting body is embedded into or attached to content distributed on the platform; and Provide a user interface to disclose the availability of system provenance data that reliably indicates that the content was generated or substantially altered by a GenAI system or captured by a capture device. Starting January 1, 2028, requires ""capture device manufacturers"" (e.g., camera and mobile phone manufacturers) to: Embed a latent disclosure in content captured by the device by default; and Offer users the option to include a disclosure containing certain information in content captured by the capture device.",Up to $5,Active,https://infobytes.orrick.com/wp-content/uploads/California-AI-Transparency-Act-and-Amendment2.pdf,https://infobytes.orrick.com/wp-content/uploads/California-AI-Transparency-Act-and-Amendment2.pdf
California,AI in Social Media & Online Platforms,California AI Transparency Act,Cal. Bus. & Prof. Code § 22757 et seq.,2-Aug-26,"Starting January 1, 2027, requires certain large online platforms to: Detect whether any provenance data that is compliant with widely adopted specifications adopted by an established standards-setting body is embedded into or attached to content distributed on the platform; and Provide a user interface to disclose the availability of system provenance data that reliably indicates that the content was generated or substantially altered by a GenAI system or captured by a capture device.",Up to $5,Active,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=
California,Automated Decision-Making,California Consumer Privacy Act Regulations,11 CCR § 7001 et seq.,1-Jan-27,"Addresses the use of automated decision-making technology (""ADMT"") when used to make significant decisions regarding consumers (those relating to financial or lending services, housing, education, employment, and healthcare): Businesses must conduct a risk assessment when using ADMT to make significant decisions, or when using personal information to train ADMT. Businesses that make ADMT (trained on personal information) available to another business to make a significant decision must provide to the recipient-business all facts available to the business that are necessary for the recipient-business to conduct its own risk assessment. Businesses must provide pre-use notices to inform consumers about the use of ADMT, details about the ADMT, and the right to opt-out and access further information. Businesses must allow consumers to opt out and provide consumers with access to information about the ADMT's use and logic. Other obligations and restrictions may apply depending on the type of data processed.",Up to $7,Active,https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf,https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf
Colorado,AI in Insurance,Colorado Protecting Consumers from Unfair Discrimination in Insurance Practices,Co. Rev. Stat. 10-3-1104.9,6-Jul-21,"Prohibits insurance providers from using algorithms or predictive models that unfairly discriminate based on race, color, national or ethnic origin, religion, sex, sexual orientation, disability, gender identity, or gender expression. Requires the Colorado Commissioner of Insurance to adopt rules requiring insurers to demonstrate that their use of algorithms and predictive models do not result in unfair discrimination.","Up to $3,000 per violation, or $30,000 per knowing violation.",Active,https://infobytes.orrick.com/wp-content/uploads/Colorado-10-3-11049-Insurers-use-of-external-consumer-with-regs.pdf,https://infobytes.orrick.com/wp-content/uploads/Colorado-10-3-11049-Insurers-use-of-external-consumer-with-regs.pdf
Colorado,Automated Decision-Making,Colorado Privacy Act,Col. Rev. Stat. § 6-1-1301 et seq.,1-Jul-23,"Provides consumers the right to opt-out of any form of automated processing of personal data to evaluate, analyze, or predict personal aspects concerning an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements in furtherance of solely-automated decisions that produce legal or similarly significant effects concerning the consumer (i.e., the provision or denial of financial or lending services, housing, insurance, education enrollment or opportunity, criminal justice, employment opportunities, healthcare services, or access to essential goods and services). Requires a data protection assessment of each processing activity involving such automated processing of personal data in certain circumstances. Other obligations and restrictions may apply depending on the type of data processed.",Up to $20,Active,https://infobytes.orrick.com/wp-content/uploads/Colorado-%C2%A7-6-1-1301-Colorado-Privacy-Act-with-Regulations.pdf,https://infobytes.orrick.com/wp-content/uploads/Colorado-%C2%A7-6-1-1301-Colorado-Privacy-Act-with-Regulations.pdf
Colorado,AI in Political Advertising,Colorado Candidate Election Deepfake Disclosures Law,Co. Rev. Stat. 1-45-111.5 to 111.7 and 1-46-101 to 106,1-Jul-24,Prohibits the distribution of AI-generated deepfakes of election candidates. Provides a safe harbor from liability where the person provides a clear and conspicuous disclaimer that the media has been edited and depicts speech or conduct that falsely appears to be authentic or truthful.,At least $100 per violation and 10% of the amount spent on the communication.,Active,https://infobytes.orrick.com/wp-content/uploads/Colorado-Rev.-Stat.-1-45-111.5-to-111.7-and-1-46-101-to-106.pdf,https://infobytes.orrick.com/wp-content/uploads/Colorado-Rev.-Stat.-1-45-111.5-to-111.7-and-1-46-101-to-106.pdf
Colorado,AI CSAM,Preventing Unauthorized Disclosure of Intimate Digital Depictions Act,SB 288,6-Aug-25,"Expands child sexually exploitative material to include a realistic visual depiction, which has been created, altered, or produced by digitization or computer-generated means, that depicts an identifiable child, in whole or in part, engaged in, participating in, observing, or being used for explicit sexual conduct.","Plaintiffs may bring civil actions to obtain relief, and a court may order a temporary restraining order, injunctive relief, and order the defendants to cease disclosure.",Active,https://leg.colorado.gov/sites/default/files/2025a_288_signed.pdf,https://leg.colorado.gov/sites/default/files/2025a_288_signed.pdf
