raw_term,source,count,example_source,proposed_code,ambiguity_flag
other,extraction_conflict_type,366,extraction_db,unclassified,no
agency_jurisdiction,extraction_conflict_type,201,extraction_db,agency_jurisdiction,no
federal_preemption,extraction_conflict_type,36,extraction_db,true_preemption,no
firstamendment,extraction_conflict_type,17,extraction_db,constitutional_limit,no
first_amendment,extraction_conflict_type,13,extraction_db,constitutional_limit,no
interstate_commerce,extraction_conflict_type,12,extraction_db,interstate_conflict,no
cross_state_conflict,extraction_conflict_type,5,extraction_db,interstate_conflict,no
dormant_commerce_clause,extraction_conflict_type,0,extraction_db,true_preemption,no
